event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25NOV17DALMIN,KXNBAGAME,Dallas vs Minnesota,DAL at MIN (Nov 17),,2025-11-17,DAL,MIN
KXNBAGAME-25NOV17NYKMIA,KXNBAGAME,New York K vs Miami,NYK at MIA (Nov 17),,2025-11-17,NYK,MIA
KXNBAGAME-25NOV17CHATOR,KXNBAGAME,Charlotte vs Toronto,CHA at TOR (Nov 17),,2025-11-17,CHA,TOR
KXNBAGAME-25NOV17MILCLE,KXNBAGAME,Milwaukee vs Cleveland,MIL at CLE (Nov 17),,2025-11-17,MIL,CLE
KXNBAGAME-25NOV17LACPHI,KXNBAGAME,Los Angeles C vs Philadelphia,LAC at PHI (Nov 17),,2025-11-17,LAC,PHI
KXNBAGAME-25NOV17INDDET,KXNBAGAME,Indiana vs Detroit,IND at DET (Nov 17),,2025-11-17,IND,DET
KXNBAGAME-25NOV16CHIUTA,KXNBAGAME,Chicago vs Utah,CHI at UTA (Nov 16),,2025-11-16,CHI,UTA
KXNBAGAME-25NOV16ATLPHX,KXNBAGAME,Atlanta vs Phoenix,ATL at PHX (Nov 16),,2025-11-16,ATL,PHX
KXNBAGAME-25NOV16PORDAL,KXNBAGAME,Portland vs Dallas,POR at DAL (Nov 16),,2025-11-16,POR,DAL
KXNBAGAME-25NOV16ORLHOU,KXNBAGAME,Orlando vs Houston,ORL at HOU (Nov 16),,2025-11-16,ORL,HOU
KXNBAGAME-25NOV16GSWNOP,KXNBAGAME,Golden State vs New Orleans,GSW at NOP (Nov 16),,2025-11-16,GSW,NOP
KXNBAGAME-25NOV16BKNWAS,KXNBAGAME,Brooklyn vs Washington,BKN at WAS (Nov 16),,2025-11-16,BKN,WAS
KXNBAGAME-25NOV16SACSAS,KXNBAGAME,Sacramento vs San Antonio,SAC at SAS (Nov 16),,2025-11-16,SAC,SAS
KXNBAGAME-25NOV16LACBOS,KXNBAGAME,Los Angeles C vs Boston,LAC at BOS (Nov 16),,2025-11-16,LAC,BOS
KXNBAGAME-25NOV15LALMIL,KXNBAGAME,Los Angeles L vs Milwaukee,LAL at MIL (Nov 15),,2025-11-15,LAL,MIL
KXNBAGAME-25NOV15DENMIN,KXNBAGAME,Denver vs Minnesota,DEN at MIN (Nov 15),,2025-11-15,DEN,MIN
KXNBAGAME-25NOV15TORIND,KXNBAGAME,Toronto vs Indiana,TOR at IND (Nov 15),,2025-11-15,TOR,IND
KXNBAGAME-25NOV15OKCCHA,KXNBAGAME,Oklahoma City vs Charlotte,OKC at CHA (Nov 15),,2025-11-15,OKC,CHA
KXNBAGAME-25NOV15MEMCLE,KXNBAGAME,Memphis vs Cleveland,MEM at CLE (Nov 15),,2025-11-15,MEM,CLE
KXNBAGAME-25NOV14GSWSAS,KXNBAGAME,Golden State vs San Antonio,GSW at SAS (Nov 14),,2025-11-14,GSW,SAS
KXNBAGAME-25NOV14LACDAL,KXNBAGAME,Los Angeles C vs Dallas,LAC at DAL (Nov 14),,2025-11-14,LAC,DAL
KXNBAGAME-25NOV14SACMIN,KXNBAGAME,Sacramento vs Minnesota,SAC at MIN (Nov 14),,2025-11-14,SAC,MIN
KXNBAGAME-25NOV14PORHOU,KXNBAGAME,Portland vs Houston,POR at HOU (Nov 14),,2025-11-14,POR,HOU
KXNBAGAME-25NOV14LALNOP,KXNBAGAME,Los Angeles L vs New Orleans,LAL at NOP (Nov 14),,2025-11-14,LAL,NOP
KXNBAGAME-25NOV14CHAMIL,KXNBAGAME,Charlotte vs Milwaukee,CHA at MIL (Nov 14),,2025-11-14,CHA,MIL
KXNBAGAME-25NOV14PHIDET,KXNBAGAME,Philadelphia vs Detroit,PHI at DET (Nov 14),,2025-11-14,PHI,DET
KXNBAGAME-25NOV14MIANYK,KXNBAGAME,Miami vs New York K,MIA at NYK (Nov 14),,2025-11-14,MIA,NYK
KXNBAGAME-25NOV14BKNORL,KXNBAGAME,Brooklyn vs Orlando,BKN at ORL (Nov 14),,2025-11-14,BKN,ORL
KXNBAGAME-25NOV13INDPHX,KXNBAGAME,Indiana vs Phoenix,IND at PHX (Nov 13),,2025-11-13,IND,PHX
KXNBAGAME-25NOV13ATLUTA,KXNBAGAME,Atlanta vs Utah,ATL at UTA (Nov 13),,2025-11-13,ATL,UTA
KXNBAGAME-25NOV13TORCLE,KXNBAGAME,Toronto vs Cleveland,TOR at CLE (Nov 13),,2025-11-13,TOR,CLE
KXNBAGAME-25NOV12DENLAC,KXNBAGAME,Denver vs Los Angeles C,DEN at LAC (Nov 12),,2025-11-12,DEN,LAC
KXNBAGAME-25NOV12ATLSAC,KXNBAGAME,Atlanta vs Sacramento,ATL at SAC (Nov 12),,2025-11-12,ATL,SAC
KXNBAGAME-25NOV12LALOKC,KXNBAGAME,Los Angeles L vs Oklahoma City,LAL at OKC (Nov 12),,2025-11-12,LAL,OKC
KXNBAGAME-25NOV12PHXDAL,KXNBAGAME,Phoenix vs Dallas,PHX at DAL (Nov 12),,2025-11-12,PHX,DAL
KXNBAGAME-25NOV12WASHOU,KXNBAGAME,Washington vs Houston,WAS at HOU (Nov 12),,2025-11-12,WAS,HOU
KXNBAGAME-25NOV12PORNOP,KXNBAGAME,Portland vs New Orleans,POR at NOP (Nov 12),,2025-11-12,POR,NOP
KXNBAGAME-25NOV12GSWSAS,KXNBAGAME,Golden State vs San Antonio,GSW at SAS (Nov 12),,2025-11-12,GSW,SAS
KXNBAGAME-25NOV12MEMBOS,KXNBAGAME,Memphis vs Boston,MEM at BOS (Nov 12),,2025-11-12,MEM,BOS
KXNBAGAME-25NOV12CLEMIA,KXNBAGAME,Cleveland vs Miami,CLE at MIA (Nov 12),,2025-11-12,CLE,MIA
KXNBAGAME-25NOV12ORLNYK,KXNBAGAME,Orlando vs New York K,ORL at NYK (Nov 12),,2025-11-12,ORL,NYK
KXNBAGAME-25NOV12MILCHA,KXNBAGAME,Milwaukee vs Charlotte,MIL at CHA (Nov 12),,2025-11-12,MIL,CHA
KXNBAGAME-25NOV12CHIDET,KXNBAGAME,Chicago vs Detroit,CHI at DET (Nov 12),,2025-11-12,CHI,DET
KXNBAGAME-25NOV11DENSAC,KXNBAGAME,Denver vs Sacramento,DEN at SAC (Nov 11),,2025-11-11,DEN,SAC
KXNBAGAME-25NOV11INDUTA,KXNBAGAME,Indiana vs Utah,IND at UTA (Nov 11),,2025-11-11,IND,UTA
KXNBAGAME-25NOV11GSWOKC,KXNBAGAME,Golden State vs Oklahoma City,GSW at OKC (Nov 11),,2025-11-11,GSW,OKC
KXNBAGAME-25NOV11BOSPHI,KXNBAGAME,Boston vs Philadelphia,BOS at PHI (Nov 11),,2025-11-11,BOS,PHI
KXNBAGAME-25NOV11TORBKN,KXNBAGAME,Toronto vs Brooklyn,TOR at BKN (Nov 11),,2025-11-11,TOR,BKN
KXNBAGAME-25NOV11MEMNYK,KXNBAGAME,Memphis vs New York K,MEM at NYK (Nov 11),,2025-11-11,MEM,NYK
KXNBAGAME-25NOV10ATLLAC,KXNBAGAME,Atlanta vs Los Angeles C,ATL at LAC (Nov 10),,2025-11-10,ATL,LAC
KXNBAGAME-25NOV10NOPPHX,KXNBAGAME,New Orleans vs Phoenix,NOP at PHX (Nov 10),,2025-11-10,NOP,PHX
KXNBAGAME-25NOV10MINUTA,KXNBAGAME,Minnesota vs Utah,MIN at UTA (Nov 10),,2025-11-10,MIN,UTA
KXNBAGAME-25NOV10MILDAL,KXNBAGAME,Milwaukee vs Dallas,MIL at DAL (Nov 10),,2025-11-10,MIL,DAL
KXNBAGAME-25NOV10SASCHI,KXNBAGAME,San Antonio vs Chicago,SAS at CHI (Nov 10),,2025-11-10,SAS,CHI
KXNBAGAME-25NOV10CLEMIA,KXNBAGAME,Cleveland vs Miami,CLE at MIA (Nov 10),,2025-11-10,CLE,MIA
KXNBAGAME-25NOV10WASDET,KXNBAGAME,Washington vs Detroit,WAS at DET (Nov 10),,2025-11-10,WAS,DET
KXNBAGAME-25NOV10PORORL,KXNBAGAME,Portland vs Orlando,POR at ORL (Nov 10),,2025-11-10,POR,ORL
KXNBAGAME-25NOV10LALCHA,KXNBAGAME,Los Angeles L vs Charlotte,LAL at CHA (Nov 10),,2025-11-10,LAL,CHA
KXNBAGAME-25NOV09MINSAC,KXNBAGAME,Minnesota vs Sacramento,MIN at SAC (Nov 9),,2025-11-09,MIN,SAC
KXNBAGAME-25NOV09INDGSW,KXNBAGAME,Indiana vs Golden State,IND at GSW (Nov 9),,2025-11-09,IND,GSW
KXNBAGAME-25NOV09DETPHI,KXNBAGAME,Detroit vs Philadelphia,DET at PHI (Nov 9),,2025-11-09,DET,PHI
KXNBAGAME-25NOV09OKCMEM,KXNBAGAME,Oklahoma City vs Memphis,OKC at MEM (Nov 9),,2025-11-09,OKC,MEM
KXNBAGAME-25NOV09BOSORL,KXNBAGAME,Boston vs Orlando,BOS at ORL (Nov 9),,2025-11-09,BOS,ORL
KXNBAGAME-25NOV09BKNNYK,KXNBAGAME,Brooklyn vs New York K,BKN at NYK (Nov 9),,2025-11-09,BKN,NYK
KXNBAGAME-25NOV09HOUMIL,KXNBAGAME,Houston vs Milwaukee,HOU at MIL (Nov 9),,2025-11-09,HOU,MIL
KXNBAGAME-25NOV08PHXLAC,KXNBAGAME,Phoenix vs Los Angeles C,PHX at LAC (Nov 8),,2025-11-08,PHX,LAC
KXNBAGAME-25NOV08INDDEN,KXNBAGAME,Indiana vs Denver,IND at DEN (Nov 8),,2025-11-08,IND,DEN
KXNBAGAME-25NOV08PORMIA,KXNBAGAME,Portland vs Miami,POR at MIA (Nov 8),,2025-11-08,POR,MIA
KXNBAGAME-25NOV08NOPSAS,KXNBAGAME,New Orleans vs San Antonio,NOP at SAS (Nov 8),,2025-11-08,NOP,SAS
KXNBAGAME-25NOV08LALATL,KXNBAGAME,Los Angeles L vs Atlanta,LAL at ATL (Nov 8),,2025-11-08,LAL,ATL
KXNBAGAME-25NOV08CHICLE,KXNBAGAME,Chicago vs Cleveland,CHI at CLE (Nov 8),,2025-11-08,CHI,CLE
KXNBAGAME-25NOV08TORPHI,KXNBAGAME,Toronto vs Philadelphia,TOR at PHI (Nov 8),,2025-11-08,TOR,PHI
KXNBAGAME-25NOV08DALWAS,KXNBAGAME,Dallas vs Washington,DAL at WAS (Nov 8),,2025-11-08,DAL,WAS
KXNBAGAME-25NOV07OKCSAC,KXNBAGAME,Oklahoma City vs Sacramento,OKC at SAC (Nov 7),,2025-11-07,OKC,SAC
KXNBAGAME-25NOV07GSWDEN,KXNBAGAME,Golden State vs Denver,GSW at DEN (Nov 7),,2025-11-07,GSW,DEN
KXNBAGAME-25NOV07UTAMIN,KXNBAGAME,Utah vs Minnesota,UTA at MIN (Nov 7),,2025-11-07,UTA,MIN
KXNBAGAME-25NOV07DALMEM,KXNBAGAME,Dallas vs Memphis,DAL at MEM (Nov 7),,2025-11-07,DAL,MEM
KXNBAGAME-25NOV07CHIMIL,KXNBAGAME,Chicago vs Milwaukee,CHI at MIL (Nov 7),,2025-11-07,CHI,MIL
KXNBAGAME-25NOV07CHAMIA,KXNBAGAME,Charlotte vs Miami,CHA at MIA (Nov 7),,2025-11-07,CHA,MIA
KXNBAGAME-25NOV07TORATL,KXNBAGAME,Toronto vs Atlanta,TOR at ATL (Nov 7),,2025-11-07,TOR,ATL
KXNBAGAME-25NOV07HOUSAS,KXNBAGAME,Houston vs San Antonio,HOU at SAS (Nov 7),,2025-11-07,HOU,SAS
KXNBAGAME-25NOV07DETBKN,KXNBAGAME,Detroit vs Brooklyn,DET at BKN (Nov 7),,2025-11-07,DET,BKN
KXNBAGAME-25NOV07CLEWAS,KXNBAGAME,Cleveland vs Washington,CLE at WAS (Nov 7),,2025-11-07,CLE,WAS
KXNBAGAME-25NOV07BOSORL,KXNBAGAME,Boston vs Orlando,BOS at ORL (Nov 7),,2025-11-07,BOS,ORL
